"title@sourceA","year@sourceA","popularity@sourceA","comedy@sourceA","fantasy@sourceA","romance@sourceA","horror@sourceA","action@sourceA","non-fiction@sourceA","type@sourceA","title@sourceB","year@sourceB","homepage@sourceB","popularity@sourceB","romance@sourceB","horror@sourceB","action@sourceB","comedy@sourceB","fantasy@sourceB","non-fiction@sourceB","type@sourceB","Confidence"
"Ender's Game","2013","6.7","0","1","0","0","1","0","M","Ender's Game","2013","http://www.if-sentinel.com/","6.6","0","0","1","0","1","0","M","100"
"Rocky Balboa","2006","7.2","0","1","0","0","0","1","M","Rocky Balboa","2006","http://www.rocky.com/","6.5","0","0","0","0","1","0","M","100"
"Hanna","2011","6.8","0","1","0","0","1","0","M","Hanna","2011","http://hannathemovie.com/","6.5","0","0","1","0","0","0","M","100"
"Children of Men","2006","7.9","0","1","0","0","1","0","M","Children of Men","2006","http://www.universalstudiosentertainment.com/children-of-men/","7.4","0","0","1","0","1","0","M","100"
"All Good Things","2010","6.3","0","1","0","1","0","0","M","All Good Things","2010","","5.9","1","1","1","0","1","0","M","100"
"Room","2015","8.2","0","1","0","0","0","0","M","Room","2015","http://www.roomthemovie.com","8.1","0","0","1","0","1","0","M","100"
"In the Heart of the Sea","2015","6.9","0","0","0","0","1","1","M","In the Heart of the Sea","2015","http://www.intheheartoftheseamovie.com/","6.5","0","0","1","0","1","1","M","100"
"The Conjuring 2","2016","7.4","0","0","0","1","1","0","M","The Conjuring 2","2016","http://www.warnerbros.com/conjuring-2","7","0","1","0","0","0","0","M","100"
"Superman Returns","2006","6.1","0","1","0","0","1","0","M","Superman Returns","2006","http://www.superman.com","5.4","0","0","1","0","1","0","M","100"
"You Don't Mess with the Zohan","2008","5.5","1","0","0","0","1","0","M","You Don't Mess with the Zohan","2008","http://www.youdontmesswiththezohan.com/","5.5","0","0","1","1","0","0","M","100"
"Quantum of Solace","2008","6.6","0","0","0","0","1","0","M","Quantum of Solace","2008","http://www.mgm.com/view/movie/234/Quantum-of-Solace/","6.1","0","1","1","0","0","0","M","100"
"Jupiter Ascending","2015","5.3","0","1","0","0","1","0","M","Jupiter Ascending","2015","http://www.jupiterascending.com","5.2","0","0","1","0","1","0","M","100"
"Moonrise Kingdom","2012","7.8","1","1","0","0","1","0","M","Moonrise Kingdom","2012","http://www.moonrisekingdom.com","7.6","1","0","0","1","1","0","M","100"
"The House Bunny","2008","5.5","1","0","1","0","0","0","M","The House Bunny","2008","http://www.thehousebunny.com/","5.6","1","0","0","1","0","0","M","100"
"22 Jump Street","2014","7.1","1","0","0","1","1","0","M","22 Jump Street","2014","http://www.22jumpstreetmovie.com","7","0","1","1","1","0","0","M","100"
"Gods of Egypt","2016","5.5","0","1","0","0","1","0","M","Gods of Egypt","2016","","5.3","0","0","0","0","1","0","M","100"
"The Social Network","2010","7.7","0","1","0","0","0","1","M","The Social Network","2010","http://www.thesocialnetwork-movie.com/","7.1","0","0","0","0","1","0","M","100"
"Transformers","2007","7.1","0","1","0","0","1","0","M","Transformers","2007","http://www.transformersmovie.com/","6.6","0","0","1","0","1","0","M","100"
"Hostel: Part II","2007","5.5","0","0","0","1","0","0","M","Hostel: Part II","2007","","5.6","0","1","0","0","0","0","M","100"
"Scott Pilgrim vs. the World","2010","7.5","1","1","0","0","1","0","M","Scott Pilgrim vs. the World","2010","http://www.scottpilgrimthemovie.com/","7.2","0","0","1","1","0","0","M","100"
"Victor Frankenstein","2015","6","0","1","0","1","0","0","M","Victor Frankenstein","2015","http://www.foxmovies.com/movies/victor-frankenstein","5.6","0","0","1","0","1","0","M","100"
"Live Free or Die Hard","2007","7.2","0","0","0","0","1","0","M","Live Free or Die Hard","2007","","6.4","0","0","1","0","0","0","M","100"
"RED","2010","7.1","1","0","0","1","1","0","M","RED","2010","","6.6","0","1","1","1","0","0","M","100"
"28 Weeks Later","2007","7","0","1","0","1","0","0","M","28 Weeks Later","2007","","6.5","0","1","1","0","1","0","M","100"
"Pirates of the Caribbean: Dead Man's Chest","2006","7.3","0","1","0","0","1","0","M","Pirates of the Caribbean: Dead Man's Chest","2006","http://disney.go.com/disneypictures/pirates/","7","0","0","1","0","1","0","M","100"
"Easy A","2010","7.1","1","1","1","0","0","0","M","Easy A","2010","http://letsnotandsaywedid.com/","6.7","0","0","0","1","0","0","M","100"
"Bad Moms","2016","6.2","1","0","0","0","0","0","M","Bad Moms","2016","http://stxmovies.com/badmoms/","6.3","0","0","0","1","0","0","M","100"
"He's Just Not That Into You","2009","6.4","1","1","1","0","0","0","M","He's Just Not That Into You","2009","http://www.hesjustnotthatintoyoumovie.com/","6.2","1","0","0","1","1","0","M","100"
"The Twilight Saga: Eclipse","2010","4.9","0","1","0","0","1","0","M","The Twilight Saga: Eclipse","2010","http://eclipsethemovie.com","5.8","1","0","1","0","1","0","M","100"
"Pixels","2015","5.6","1","0","0","0","1","0","M","Pixels","2015","http://www.pixels-movie.com/","5.6","0","0","1","1","1","0","M","100"
"Wanted","2008","6.7","0","1","0","1","1","0","M","Wanted","2008","http://www.wantedmovie.com/","6.4","0","1","1","0","0","0","M","100"
"About Time","2013","7.8","1","1","0","0","0","0","M","About Time","2013","","7.8","0","0","0","1","1","0","M","100"
"Dirty Grandpa","2016","6","1","0","0","0","0","0","M","Dirty Grandpa","2016","http://www.dirtygrandpa.movie/","5.7","0","0","0","1","0","0","M","100"
"Pete's Dragon","2016","6.8","0","1","0","0","1","0","M","Pete's Dragon","2016","http://movies.disney.com/petes-dragon-2016","6.2","0","0","1","0","1","0","M","100"
"The Blind Side","2009","7.7","0","1","0","0","0","1","M","The Blind Side","2009","http://www.theblindsidemovie.com/","7.2","0","0","0","0","1","0","M","100"
"Triple 9","2016","6.3","0","1","0","1","1","0","M","Triple 9","2016","http://triple9movie.com/","5.6","0","0","1","0","0","0","M","100"
"Neighbors","2014","6.4","1","0","0","0","0","0","M","Neighbors","2014","","6.2","0","0","0","1","0","0","M","100"
"The Legend of Tarzan","2016","6.3","0","1","0","0","1","0","M","The Legend of Tarzan","2016","http://legendoftarzan.com","5.5","0","0","1","0","0","0","M","100"
"Kickboxer: Vengeance","2016","4.9","0","0","0","0","1","0","M","Kickboxer: Vengeance","2016","http://www.kickboxervengeance.com","4.5","0","0","1","0","1","0","M","100"
"Watchmen","2009","7.6","0","1","0","1","1","0","M","Watchmen","2009","https://www.warnerbros.com/watchmen","7","0","1","1","0","1","0","M","100"
"Harry Potter and the Order of the Phoenix","2007","7.5","0","1","0","0","1","0","M","Harry Potter and the Order of the Phoenix","2007","http://www.harrypotterorderofthephoenix.com/","7.4","0","1","1","0","1","0","M","100"
